key,en,ar
global_goals:1---short,빈곤퇴치,لا فقر
global_goals:1---title,모든 곳에서 모든 형태의 빈곤 종식,القضاء على الفقر بجميع أشكاله في كل مكان
global_goals:10---short,불평등 완화,انخفاض عدم المساواة
global_goals:10---title,국내 및 국가 간 불평등 감소,انخفاض عدم المساواة داخل وبين البلدان
global_goals:11---short,지속가능한 도시와 공동체,المدن والمجتمعات المستدامة
global_goals:11---title,포용적이고 안전하며 회복력 있고 지속가능한 도시와 주거지 조성,جعل المدن والمستوطنات البشرية شاملة وآمنة ومرنة ومستدامة
global_goals:12---short,책임감있는 소비와 생산,الاستهلاك والإنتاج المسؤول
global_goals:12---title,지속가능한 소비와 생산 양식의 보장,ضمان أنماط الاستهلاك والإنتاج المستدامة
global_goals:13---short,기후변화 대응,العمل المناخي
global_goals:13---title,기후변화와 그로 인한 영향에 맞서기 위한 긴급 대응,اتخاذ إجراءات عاجلة لمكافحة تغير المناخ وآثاره
global_goals:14---short,해양 생태계,الحياة تحت الماء
global_goals:14---title,"지속가능발전을 위한 대양, 바다, 해양자원의 보전과 지속가능한 이용",حفظ المحيطات والبحار والموارد البحرية واستخدامها على نحو مستدام لتحقيق التنمية المستدامة
global_goals:15---short,육상 생태계,الحياة على الأرض
global_goals:15---title,"육상생태계의 지속가능한 보호·복원·증진, 숲의 지속가능한 관리, 사막화 방지, 토지황폐화의 중지와 회복, 생물다양성 손실 중단",حماية وترميم وتشجيع الاستخدام المستدام للنظم الإيكولوجية الأرضية، وإدارة الغابات على نحو مستدام، وكافحة التصحر، ووقف تدهور الأراضي وعكس مساره ووقف فقدان التنوع البيولوجي
global_goals:16---short,"평화, 정의와 제도",السلام والعدالة - مؤسسات قوية
global_goals:16---title,"지속가능발전을 위한 평화롭고 포용적인 사회 증진, 모두에게 정의를 보장, 모든 수준에서 효과적이며 책임감 있고 포용적인 제도 구축",تعزيز المجتمعات السلمية والشاملة لتحقيق التنمية المستدامة، وتوفير إمكانية الوصول إالى العدالة للجميع وبناء مؤسسات فعالة وخاضعة للمساءلة وشاملة للجميع على جميع المستويات
global_goals:17---short,SDGs를 위한 파트너십,الشراكات من أجل الأهداف
global_goals:17---title,이행수단 강화와 지속가능발전을 위한 글로벌 파트너십의 활성화,تعزيز وسائل التنفيذ وتنشيط الشراكة العالمية من أجل التنمية المستدامة
global_goals:2---short,기아종식,القضاء على الجوع
global_goals:2---title,"기아 종식, 식량안보와 개선된 영양상태의 달성, 지속 가능항 농업 강화",القضاء على الجوع وتحقيق الأمن الغذائي وتحسين التغذية وتعزيز الزراعة المستدامة 
global_goals:3---short,건강과 웰빙,صحة جيدة ورفاه
global_goals:3---title,모든 연령층을 위한 건강한 삶 보장과 복지 증진,ضمان حياة صحية وتعزيز الرفاهية للجميع في جميع الأعمار
global_goals:4---short,양질의 교육,تعليم ذو جودة
global_goals:4---title,모두를 위한 포용적이고 공평한 양질의 교육 보장 및 평생학습 기회 증진,ضمان التعليم الجيد الشامل والمنصف وتعزيز فرص التعلم مدى الحياة للجميع
global_goals:5---short,양성평등,المساواة بين الجنسين
global_goals:5---title,성평등 달성과 모든 여성 및 여아의 권익신장,تحقيق المساواة بين الجنسين وتمكين جميع النساء والفتيات 
global_goals:6---short,물과 위생,المياه النظيفة والصرف الصحي
global_goals:6---title,모두를 위한 물과 위생의 이용가능성과 지속가능한 관리 보장,ضمان التوافر والإدارة المستدامة للمياه والصرف الصحي للجميع
global_goals:7---short,깨끗한 에너지,الطاقة النظيفة والمتوفرة بأسعار معقولة 
global_goals:7---title,적정한 가격에 신뢰할 수 있고 지속가능한 현대적인 에너지에 대한 접근 보장,ضمان الوصول إالى الطاقة الحديثة والموثوقة والمستدامة والحديثة للجميع
global_goals:8---short,양질의 일자리와 경제성장,وظائف لائقة والنمو الاقتصادي
global_goals:8---title,"포용적이고 지속가능한 경제성장, 완전하고 생산적인 고용과 모두를 위한 양질의 일자리 증진",تعزيز النمو الاقتصادي المستدام والشامل والعمالة الكاملة والمنتجة والعمل اللائق للجميع 
global_goals:9---short,"산업, 혁신과 사회기반시설",الصناعة والابتكار والهياكل الأساسية 
global_goals:9---title,"회복력 있는 사회기반시설 구축, 포용적이고 지속가능한 산업화 증진과 혁신 도모",بناء هياكل أساسية مرنة، وتعزيز التصنيع الشامل والمستدام وتعزيز الابتكار
general:facebook,Facebook,فيسبوك
general:goal,목표,هدف
general:goals,목표,اهداف
general:home,Home,الصفحة الرئيسية  (Home page)
general:indicator,지표,مؤشر
general:indicators,지표,مؤشرات
general:loading,검색 결과를 불러오고 있습니다.,تحميل نتائج البحث
general:opens_new_window,새 창에서 열기,تنفتح في نافذة جديدة
general:sdg,지속가능발전목표,اهداف التنمية المستدامة
general:target,세부목표,استهداف
general:targets,세부목표,أهداف
general:twitter,Twitter,تويتر
search:found_in,found in,موجود في
search:indicator_search,검색어를 입력해 주세요.,بحث المؤشر
search:keywords,키워드,الكلمات الدالة
search:no_results,검색 결과가 없습니다.,لا يوجد نتائج
search:search,검색,بحث
search:search_results_for,검색 결과,نتائج البحث عن
global_targets:1-1---title,2030년까지 1일 생계비 1.25 달러 미만으로 살고 있는 모든 인구를 모든 곳에서 종식,القضاء على الفقر المدقع للناس أجمعين أينما كانوا بحلول عام 2030، وهو يُقاس حالياً بعدد الأشخاص الذين يعيشون بأقل من 1.25 دولار في اليوم
global_targets:1-2---title,"각 국가 빈곤정의에 따라 2030년까지 모든 측면에서 빈곤 속에 사는 모든 연령층의 남성, 여성, 그리고 아동 비율을 최소 절반으로 감소",تخفيض نسـبة الرجال والنساء والأطفال من جميع الأعمار الـذين يعـانون الفقر بجميع أبعاده وفقــاً للتعـاريف الوطنية بمقــدار النصف على الأقل، بحلول عام 2030
global_targets:1-3---title,"사회안전망을 포함하여 모두를 위해 국가별로 적합한 사회적 보호체제 및 조치를 이행하고, 2030년까지 빈곤층과 취약계층에 대한 실질적 보장을 달성",تنفيـذ نظم وطنية ملائمـة للحمايـة الاجتمـاعية وتـدابير للجميع ووضع حدود دنيا لها، وبحلول عام 2030، تحقيق تغطية واسعة للفقراء والضعفاء
global_targets:1-4---title,"2030년까지 모든 남성과 여성, 특히 빈곤층과 취약계층이 경제적 자원과  기본 서비스, 토지와 기타 형태의 재산에 대한 소유와 통제, 상속, 천연자원, 적정 신기술 및 소액금융을 포함한 금융서비스에 공평하게 접근할 수 있는 권리 보장",كفالة تمتع جميع الرجال والنساء، ولا سيما الفقراء والضعفاء منهم، بنفس الحقوق في الحصـول على الموارد الاقتصـادية، وكذلك حصـولهم على الخدمات الأسـاسـية، وعلى حق امتلاك الأراضي والتصـرّف فيها وغير ذلك من الحقوق المتعلّقة بأشكال الملكية الأخرى، وبالميراث، وبالحصـول على الموارد الطبيعية، والتكنولوجيا الجـديـدة الملائمـة، والخـدمـات المـاليـة، بمـا في ذلـك التمويـل المتنـاهي الصغر، بحلول عام 2030
global_targets:1-5---title,"2030년까지 빈곤층과 취약계층의 회복력을 키우고,  기후 관련 극한 상황 혹은 기타 경제적, 사회적, 환경적인 충격과 재난에 대한 노출 및 취약성을 감소",بناء قدرة الفقراء والفئات الضعيفة على الصـمود، والحد من تعرضـهم وتأثّرهم بالظواهر المتطرفة المتصـلة بالمناخ وغيرها من الهزات والكوارث الاقتصادية والاجتماعية والبيئية، بحلول عام 2030
global_targets:1-a---title,"개도국 특히, 최빈국이 모든 차원의 빈곤 퇴치 프로그램과 정책 제공을 위해  증강된 개발협력 을 포함하여 다양한 재원 동원 보장",كفالة حشـد موارد كبيرة من مصادر متنوعة، بوسـائل منها التعاون الإنمائي المعزّز، من أجل تزويد البلدان النامية، ولا سـيما أقل البلدان نمواً، بما يكفيها من الوسـائل التي يمكن التنبؤ بها من أجل تنفيذ برامج وسـياسات ترمي إلى القضاء على الفقر بجميع أبعاده
global_targets:1-b---title,"빈곤퇴치 활동에 대한 투자를 촉진하기 위해 빈곤층 친화적이고 성 인지적 재발전략을 기초로 한 국가, 지역, 글로벌 차원의 탄탄한 정책 프레임워크 수립",وضع أطر سـياسـاتية سـليمة على الصعد الوطنية والإقليمية والدولية، اسـتناداً إلى اسـتراتيجيات إنمائية مراعية لمصالح الفقراء ومراعية للمنظور الجنساني، من أجل تسـريع وتيرة الاسـتثمار في الإجراءات الرامية إلى القضاء على الفقر
global_targets:10-1---title,2030년까지 소득하위 40%의 소득성장률을 점진적으로 국가평균보다 높게 달성 및 유지,التوصل تدريجيا إلى تحقيق نمو الدخل ودعم اســتمرار ذلك النمو لأدنى 40 في المائة من السـكـان، بمعـدل أعلى من المعـدل المتوسط الوطني، بحلول عام 2030
global_targets:10-2---title,"2030년까지 연령, 성, 장애, 인종, 종교, 기타 사회경제적 지위를 막론하고 사회, 경제, 정치적 참여 권한 확대 및 촉진",تمكين وتعزيز الإدماج الاجتماعي والاقتصادي والسـياسي للجميع، بصـرف النظر عن السن أو الجنس أو الإعاقة أو الانتماء العرقي أو الإثني أو الأصــل أو الدين أو الوضع الاقتصــادي أو غير ذلك، بحلول عام 2030
global_targets:10-3---title,"차별적인 법, 정책 및 관행 등을 철폐하여 동등한 기회를 보장하고 소득 불평등 감소",كفالة تكافؤ الفرص، والحد من أوجه انعدام المسـاواة في النتائج، بوسـائل منها إزالة القوانين والسـياسات والممارسات التمييزية، وتعزيز التشـريعات والسـياسات والإجراءات الملائمة في هذا الصدد
global_targets:10-4---title,"재정정책, 임금정책, 사회보장정책 등을 채택하고 점진적으로 더 나은 평등을 달성",اعتماد سـياسـات، ولا سـيما سـياسـات مالية وسـياسـات بشأن الأجور والحماية الاجتماعية، وتحقيق مزيد من المساواة تدريجياً
global_targets:10-5---title,글로벌 금융시장 및 기관의 규제 및 모니터링 개선 및 이행조치 강화,تحسـين تنظيم الأسـواق والمؤسـسـات المالية العالمية ورصـدها وتعزيز تنفيذ تلك التنظيمات
global_targets:10-6---title,글로벌 국제경제 및 금융기관의 의사결정과정에서 개발도상국가의 입장이 반영되도록 강화,ضمان تعزيز تمثيل البلدان النامية وإسماع صوتها في عملية صنع القرار في المؤسسات الاقتصادية والمالية الدولية العالمية، من أجل تحقيق المزيد من الفعالية والمصداقية والمساءلة والشرعية للمؤسسات 
global_targets:10-7---title,"안전하고, 정기적이고, 책임 있는 인구의 이주 및 이동이 가능토록하고 잘 관리된 이민정책 수립 및 이행", تيسـير الهجرة وتنقل الأشـخاص على نحو منظم وآمن ومنتظم ومتسم بالمسـؤولية، بطرق منها تنفيذ سـياسات الهجرة المخطط لها والتي تتسم بحسن الإدارة
global_targets:10-a---title,"WTO협약에 따른 개발도상국(특히, 최빈개도국) 특별대우 규정 이행",تنفيذ مبدأ المعاملة الخاصة والتفضـيلية للبلدان النامية، وبخاصة أقل البلدان نمواً، بما يتماشـى مع اتفاقات منظمة التجارة العالمية
global_targets:10-b---title,"도움이 필요한 국가에(최빈개도국, 아프리카 국가, 군서도서개발국) ODA, 재원 지원, 직접투자 권장",تشجيع المساعدة الإنمائية الرسمية والتدفقات المالية، بما في ذلك الاستثمار الأجنبي المباشر، إالى الدول التي تشتد الحاجية فيها إاليها، ولا سيما أقل البلدان نمواً، والبلدان الأفريقية، والدول الجزرية الصغيرة النامية، والبلدان النامية غير الساحلية، وفقاً لخططها وبرامجها الوطنية
global_targets:10-c---title,2030년까지 이민자송금 수수료 3% 이하로 감소 및 5%를 초과하는 송금 장벽 제거,خفض تكاليف معاملات تحويلات المهاجرين إلى أقل من 3 في المائة، وإلغاء قنوات التحويلات المالية التي تربو تكاليفها على 5 في المائة، بحلول عام 2030
global_targets:11-1---title,2030년까지 모두에게 충분하고 안전 및 저렴한 주택 및 기본서비스 제공 그리고 빈민가 개선,كفالة حصول الجميع على مساكن وخدمات أساسية ملائمة وآمنة وميسورة التكلفة، ورفع مسـتوى الأحياء الفقيرة، بحلول عام 2030
global_targets:11-2---title,"2030년까지 모두에게(특히, 취약계층, 여성, 아동, 노인, 장애인) 안전 및 저렴하고 지속가능한 공공 교통시스템 제공",توفير إمكانية وصـول الجميع إلى نظم نقل مأمونة وميســورة التكلفة ويسـهل الوصـول إليها ومســتدامة، وتحســين الســلامة على الطرق، وخاصةً ً بتوســيع نطاق النقل العام، مع إيلاء اهتمام خاص لاحتياجات الأشـخاص الذين يعيشون في ظروف هشة والنساء والأطفـال والأشـخـاص ذوي الإعـاقـة وكبـار السـن، بحلول عـام 2030
global_targets:11-3---title,"2030년까지 포괄적이고 지속가능한 도시화와, 참여, 통합 및 지속가능한 거주지 계획 및 관리 역량 강화",تعزيز التوسع الحضري الشـامل للجميع والمســتدام، والقدرة على تخطيط وإدارة المسـتوطنات البشـرية في جميع البلدان على نحو قائم على المشاركة ومتكامل ومستدام، بحلول عام 2030
global_targets:11-4---title,세계문화 및 자연유산 보호 노력 강화,تعزيز الجهود الرامية إلى حماية وصـون التراث الثقـافي والطبيعي العالمي
global_targets:11-5---title,"2030년까지, 빈곤층과 취약계층 보호에 초점을 맞추어, 수해 등 재난으로 인한 사망자 및 피해자수를 대폭 줄이고 세계 총 GDP대비 직접적인 경제적 손실을 대폭 감소",تحقيق انخفـاض كبير في عـدد الوفيات وعـدد الأشـخـاص المتأثرين، وانخفاض كبير في الخسائر الاقتصادية المباشـرة المتصلة بالناتج المحلي الإجمالي العالمي التي تحدث بسـبب الكوارث، بما في ذلك الكوارث المتصلة بالمياه، مع التركيز على حماية الفقراء والأشخاص الذين يعيشون في ظروف هشة، بحلول عام 2030
global_targets:11-6---title,"대기의 질과 지자체 등의 폐기물 특별 관리를 포함하여, 2030년까지 도시화로 인한 부정적인 환경영향(인구 1인당)을 감소", الحد من الأثر البيئي السـلبي الفردي للمدن، بطُرق منها إيلاء اهتمـام خـاص لنوعيـة الهواء وإدارة نفـايـات البلـديـات وغيرهـا، بحلول عام 2030
global_targets:11-7---title,"2030년까지 포괄적이고 안전하며 보편적으로 접근 가능한 녹색 및 공공장소 제공 (특히, 여성, 아동, 노인, 장애인)",توفير ســبل اســتفادة الجميع من مســاحات خضــراء وأماكن عامة آمنة وشـاملة للجميع ويمكن الوصـول إليها، ولا سـيما بالنسـبة للنساء والأطفال وكبار السن والأشخاص ذوي الإعاقة، بحلول عام 2030
global_targets:11-a---title,"국가 및 지역개발계획을 강화하여 도시, 근교도시 그리고 농촌간의 긍정적인 경제, 사회 및 환경적 연결고리를 지원",دعم الروابط الإيجابية الاقتصادية والاجتماعية والبيئية بين المناطق الحضـرية والمناطق المحيطة بالمناطق الحضرية والمناطق الريفية، من خلال تعزيز تخطيط التنمية الوطنية والإقليمية
global_targets:11-b---title,"2020년까지 포용, 자원 효율, 기후 변화에 대한 완화와 적응, 재난에 대한 회복력을 위한 통합 정책 및 계획을 채택, 시행하는 도시와 거주지의 수를 대폭 확대하고, 2015-2030년 재난위험감소를 위한 센다이 프레임워크에 맞추어 모든 수준에서의 통합적인 재난위기관리를 구축하고 시행함",العمل، بحلول عام 2020، على تحقيق زيادة كبيرة في عدد المدن والمستوطنات البشرية التي تعتمد وتنفذ سياسات وخططا متكـاملـة من أجـل شمول الجميع، وتحقيق الكفـاءة في اسـتخـدام الموارد، والتخفيف من تغير المناخ والتكيف معـه، والقـدرة على الصـمود في مواجهة الكوارث، ووضع وتنفيذ الإدارة الكلية لمخاطر الكوارث على جميع المستويات، بما يتماشى مع إطار سِ نداي للحد من مخاطر الكوارث للفترة 2015-2030
global_targets:11-c---title,최빈개도국이 지역 건설자재를 사용하여 지속가능하고 탄력적인 건물을 만들 수 있도록 재원 및 기술적 지원을 비롯한 다양한 지원,دعم أقل البلدان نمواً، بوسائل منها تقديم المساعدة المالية والتقنية، في إقامة المباني المستدامة والقادرة على الصمود باستخدام المواد المحلية
global_targets:12-1---title,"선진국 주도하에, 개발도상국들의 역량과 발전을 고려하여, 지속가능한 소비 및 생산에 대한 10년 주기 프로그램 이행",تنفيذ الإطار العشـري للبرامج المتعلقة بأنماط الاسـتهلاك والإنتاج المسـتدامة، مع قيام جميع البلدان باتخاذ إجراءات، وتولي البلدان المتقـدمة النمو دور الريادة، مع مراعـاة مسـتوى التنمية في البلدان النامية وقدراتها
global_targets:12-2---title,2030년까지 천연자원의 효율적인 사용 및 지속가능한 관리 달성,تحقيق الإدارة المسـتـدامة والاستخـدام الكفؤ للموارد الطبيعية، بحلول عام 2030
global_targets:12-3---title,2030년까지 소매 및 소비자 수준에서 1인당 식품폐기물을 1/2로 감소하고 식품 생산 및 유통과정에서 발생하는 식품 손실량 감소,تخفيض نصيب الفرد من النفايات الغذائية العالمية على صعيد أماكن البيع بالتجزئة والمستهلكين بمقدار النصف، والحد من خسائر الأغذية في مراحل الإنتاج وسلاسل الإمداد، بما في ذلك خسائر ما بعد الحصاد، بحلول عام 2030
global_targets:12-4---title,"2020년까지, 합의된 국제 프레임워크에 따라 화학물질 및 모든 폐기물에 대해 수명 주기 동안 친환경적인 관리를 달성하고, 이들이 인체 건강 및 환경에 끼치는 부정적 영향을 최소화하기 위해, 공기, 물, 토양으로의 배출을 크게 감소",تحقيق الإدارة السليمة بيئياً للمواد الكيميائية وجميع النفايات طوال دورة عمرها، وفقاً للأطر الدولية المتفق عليها، والحد كثراً من إطلاقها في الهواء والماء والتربة من أجل التقليل إالى أدنى حد من آثارها الضارة على صحة الإنسان والبيئة، بحلول عام 2020
global_targets:12-5---title,"2030년까지 방지, 감축, 재생 및 재사용을 통하여 폐기물 발생 감소",الحد كثيراً من إنتاج النفايات، من خلال المنع والتخفيض وإعادة التدوير وإعادة الاستعمال، بحلول عام 2030
global_targets:12-6---title,"기업들이(특히, 대기업 및 다국적기업) 보고체계에 지속가능성 관련 정보를 반영토록하고 지속가능한 기업 활동을 이행하도록 권고",تشجيع الشركات، ولا سـيما الشـركات الكبيرة والشـركات عبر الوطنية، على اعتماد ممارسـات مسـتدامة، وإدراج معلومات الاستدامة في دورة تقديم تقاريرها
global_targets:12-7---title,국가정책 및 우선순위에 따라 지속가능한 공공조달 관행 촉진,تعزيز ممارسات الشراء العمومي المستدامة، وفقا للسياسات والأولويات الوطنية
global_targets:12-8---title,2030년까지 모든 곳에서의 사람들이 지속가능발전과 자연과 조화로운 라이프스타일에 대한 의식 및 정보를 가질 수 있게 보장,كفالة أن تتوافر للناس في كل مكان المعلومات ذات الصلة والوعي بالتنمية المســتدامة وأنماط العيش في وئام مع الطبيعة، بحلول عام 2030
global_targets:12-a---title,개발도상국이 지속가능한 소비 및 생산 방향으로 전환할 수 있게 과학기술 역량 강화 지원,دعم البلـدان النامية لتعزيز قــدراتها العلمية والتكنولوجية للمضي قدما نحو أنماط استهلاك وإنتاج أكثر استدامة
global_targets:12-b---title,일자리 창출 및 지역 문화 및 상품을 홍보하는 관광업의 지속가능발전 영향을 모니터링 하는 도구 개발 및 이행, وضع وتنفيذ أدوات لرصـد تأثيرات السـياحة المسـتدامة، التي توفر فرص العمل وتعزز الثقافة والمنتجات المحلية، في التنمية المستدامة
global_targets:12-c---title,"조세구조 조정 및 유해 보조금의 단계적 폐지를 통한 시장왜곡 요인 제거를 포함하여 에너지낭비를 부추기는 비효율적인 화석 연료 보조금의 합리화 이행 (이때, 개발도상국의 특수한 상황과 수요를 충분히 고려하고 취약계층을 보호를 통해 개도국의 발전에 대한 악영향을 최소화함)",ترشـيد إعانات الوقود الأحفوري غير الفعالة التي تشـجع على الإسـراف في الاسـتهلاك، وذلك بإزالة تشـوهات الأسـواق، وفقا للظروف الوطنية، بطُرق منها إعادة هيكلة الضرائب والتخلص بالتـدريج من الإعـانـت الضـارة، حيثما وجـدت، لإظهار آثـارهـا البيئية، مع إيلاء الاعتبار الكامل للاحتياجات والظروف الخاصة للبلدان النامية، والتقليل إلى أدنى حد ممكن من الآثار السـلبية على نموها على نحو يكفل حماية الفقراء والمجتمعات المحلية المتأثرة
global_targets:13-1---title,기후관련 위험요소와 자연재해에 대한 적응역량 및 탄력성 강화,تعزيز القـدرة على الصـمود في مواجهـة المخـاطر المرتبطـة بالمناخ والكوارث الطبيعية في جميع البلدان، وتعزيز القـدرة على التكيف مع تلك المخاطر
global_targets:13-2---title,"국가정책, 전략 및 계획에 기후변화 조치 통합",إدماج التدابير المتعلقة بتغير المناخ في السيـاسـات والاستراتيجيات والخطط الوطنية
global_targets:13-3---title,"기후 변화 완화, 적응, 영향 감소, 조기 경보에 대한 교육, 인식 고취, 인구 및 제도 역량 개선",تحسـين التعليم وإذكاء الوعي والقدرات البشـرية والمؤسـسـية بشـأن التخفيف من تغير المناخ، والتكيف معـه، والحـد من أثره والإنذار المبكر به 
global_targets:13-a---title,개발도상 국가들의 기후변화 완화 활동의 이행 및 녹색기후펀드의 완전한 운영을 위해 유엔기후변화협약 상의 선진국들의 공약인 연간 $1000억 동원 즉각 이행,نفيذ ما تعهدت به الأطراف من البلدان المتقدمة النمو في اتفاقية الأمم المتحدة الإطارية بشأن تغير المناخ من التزام بهدف التعبئة المشـتركة لمبلغ قدره 100 بليون دولار سـنوياً بحلول عام 2020 من جميع المصادر لتلبية احتياجات البلدان النامية، في سياق إجراءات تخفيفية مجدية وشفافية في التنفيذ، وجعل الصندوق الأخضـر للمناخ في حالة تشـغيل كامل بتزويده برأس المال في أقرب وقت ممكن
global_targets:13-b---title,"최빈개도국의 효과적인 기후변화 관련 계획 및 관리 역량 제고 메카니즘 촉진(취약계층, 여성, 청소년 및 소외집단 포함)",تعزيز الآليات اللازمة لتحسـين مسـتوى قدرات التخطيط والإدارة الفعـالين المتعلقين بتغير المنـاخ في أقـل البلـدان نموا، والـدول الجزرية الصغيرة النامية، بما في ذلك التركيز على النسـاء والشـباب والمجتمعات المحلية والمهمشة
global_targets:14-1---title,"2025년까지 해양 폐기물과 영양분 오염을 포함하여, 모든 형태의 해양 오염 방지 및 감소",منع التلوث البحري بجميع أنواعه والحد منه بقدر كبير، ولا سـيما التلوث الناجم عن الأنشـطة البرية، بما في ذلك الحطام البحري، وتلوث المغذيات، بحلول عام 2025
global_targets:14-2---title,2020년까지 회복력 및 복원활동을 강화하여 해양 및 연안 생태계를 지속 가능하게 관리하고 보호  조치 실행,إدارة النظم الإيكولوجية البحرية والساحليـة على نحو مسـتدام وحمايتها، من أجل تجنب حدوث آثار سـلبية كبيرة، بوســائل منها تعزيز قدرتها على الصــمود، واتخاذ الإجراءات اللازمة لإعـادتها إلى ما كانـت عليـه من أجـل تحقيق الصحة والإنتـاجيـة للمحيطات، بحلول عام 2020
global_targets:14-3---title,모든 수준에서의 과학협력을 포함하여 해양 산성화 최소화 및 그 영향에 대응,تقليل تحمض المحيطات إلى أدنى حد ومعالجة آثاره، بجملة وسائل منها تعزيز التعاون العلمي على جميع المستويات
global_targets:14-4---title,"2020년까지 효과적인 어업 규제, 불법·비보고·비규제 어업, 남획, 파괴적인 어업 방법 금지; 최단시간에 어획량을 복원하기 위한 과학적 관리계획 이행",تنظيم الصيد على نحو فعال، وإنهاء الصيد المفرط والصيد غير القانوني، وغير المبلغ عنه، وغير المنظم وممارسات الصيد المدمرة، وتنفيذ خطط إدارة قائمة على العلم، من أجل إعادة الأرصدة السمكية إالى ما كانت عليه في أقرب مقت ممكن، لتصل على الأقل إالى المستويات التي يمكن أن تتيح إنتاج أقصى غلة مستدامة وفقاً لما تحدده خصائصها البيولوجية، بحلول عام 2020
global_targets:14-5---title,2020년까지 가용한 과학적 정보 및 국가법·국제법과 일관되게 최소 연안 및 해양지역의 10% 보호,حفظ 10 في المائة على الأقـل من المناطق الساحليـة والبحرية، بما يتسـق مع القانون الوطني والدولي، واسـتناداً إلى أفضـل المعلومات العلمية المتاحة، بحلول عام 2020
global_targets:14-6---title,"WTO 어업보조금 협상에 개발도상국 및 최빈개도국에 대한 효과적인 특별대우가 중요함을 인정하고 2020년까지 생산과잉 및 남획, 불법·비보고·비규제 어업에 기여하는 특정형태의 어업 보조금 금지 그리고 이와 유사한 신규 보조금 도입 자제",حظر أشكال معينة من الإعانات المقدمة إلى مصائد الأسماك التي تسهم في الإفراط في قدرات الصيد وفي صيد الأسماك، وإلغاء الإعانات التي تسـاهم في صـيد الأسماك غير المشـروع وغير المبلغ عنه وغير المنظم، والإحجام عن اســتحداث إعانات جديدة من هذا القبيل، مع التسليم بضـرورة أن تكون المعاملة الخاصة  والتفضـيلية الملائمة والفعالة، للبلدان النامية وأقل البلدان نمواً، جزءاً لا يتجزأ من مفاوضات منظمة التجارة العالمية بشأن الإعانات المقدمة لمصائد الأسماك، بحلول عام 2020 (3)
global_targets:14-7---title,2030년까지 해양자원의 지속가능한 사용 및 관리를 통하여 최빈개도국 및 군서도서 개발국의 경제적 이익 증가,زيادة الفوائد الاقتصادية التي تتحقق للدول الجزرية الصـغيرة النامية وأقل البلدان نموا من الاسـتخدام المسـتدام للموارد البحرية، بجملة وسائل منها الإدارة المستدامة لمصائد الأسماك، وتربية الأحياء المائية، والسياحة، بحلول عام 2030
global_targets:14-a---title,"해양건강 개선 및 해양 다양성 강화를 통해 개발도상국가, 특히 군소도서 개발국과 최빈개도국들의 개발에 기여하도록 연구역량 증대 및 과학지식, 선진해양기술 이전(정부간해양학위원회의 해양기술이전에 대한 기준과 지침을 고려)",زيادة المعـارف العلمية، وتطوير قـدرات البحـث، ونقـل التكنولوجيا البحريـة، مع مراعـاة معـايير اللجنة الأوقيـانوغرافية الحكومية الـدوليـة ومبادئها التوجيهيـة المتعلقــة بنقــل التكنولوجيا البحرية، من أجل تحســين صحة المحيطات، وتعزيز إسـهام التنوع البيولوجي البحري في تنمية البلدان النامية، ولا ســيما الدول الجزرية الصغيرة النامية وأقل البلدان نموا
global_targets:14-b---title,소규모 영세어업자들에 해양자원 및 시장 접근성 제공,تيسـير وصـول صغار الصـيادين الحرفيين إلى الموارد البحرية والأسواق
