key,en,ar
global_targets:4-4---title,"2030년까지 전문.직업기술 등 취업, 양질의 일자리, 창업활동을 위해 필요한 적합한 기술을 지닌 청소년과 성인의 수를 실질적으로 증가",تحقيق زيـادة كبيرة في عـدد الشـبـاب والكبـار الـذين تتوافر لـديهم المهـارات المنـاسـبـة، بمـا في ذلـك المهـارات التقنيـة والمهنيـة، للعمل وشـغل وظائف لائقة ولمباشـرة الأعمال الحرة، بحلول عام 2030
global_targets:4-5---title,"2030년까지 교육에서의 성차를 해소하고, 장애인, 토착민, 취약상황에 처한 아동을 포함한 취약계층이 모든 수준의 교육과 직업훈련에 평등하게 접근",القضاء على التفاوت بين الجنسين في التعليم، وكفالة تكافؤ فرص الوصول إلى جميع مســـتويات التعليم والتدريب المهني للفئات الضـعيفة، بما في ذلك لأشــــخاص ذوي الإعاقة، وأفراد الشـعوب الأصلية، والأطفال الذين يعيشـون في ظروف هشـة، بحلول عام 2030
global_targets:4-6---title,2030년까지 모든 청소년과 상당수 성인 남녀의 문해력과 수리력 성취를 보장,كفالة أن يلمّ جميع الشــباب ونســبة كبيرة من الكبار، رجالاً ونساء على حد سـواء، بالقراءة والكتابة والحسـاب، بحلول عام 2030
global_targets:4-7---title,"2030년까지 모든 학습자들이 지속가능발전 및 지속가능생할방식, 인권, 성평등, 평화와 비폭력문화증진, 세계시민의식, 문화다양성 및 지속가능발전을 위한 문화의 기여에 대한 교육을 통해, 지속가능발전을 증진하기 위해 필요한 지식 및 기술 습득을 보장",كفالة أن يكتسـب جميع المتعلّمين المعارف والمهارات اللازمة لدعم التنمية المســتدامة، بما في ذلك جملة أمور منها التعليم لتحقيق التنمية المسـتدامة، واتّباع أساليب العيش المسـتدامة، وحقوق الإنسان، والمساواة بين الجنسـين، والترويج لثقافة السـلام ونبذ العنف، والمواطنة العالمية، وتقدير التنوع الثقافي، وتقدير مساهمة الثقافة في التنمية المستدامة، بحلول عام 2030
global_targets:4-a---title,"아동, 장애인, 성차를 고려한 교육시설을 건립 및 개선하고, 모두를 위한 안전하고 비폭력적이며, 포용적이고 효과적인 학습환경을 제공",بنـاء مرافق تعليميـة تراعي الأطفـال، وذوي الإعـاقـة، والفروق بين الجنسـين، ورفع مســتوى المرافق التعليمية القائمة، وتهيئة بيئة تعليمية فعالة ومأمونة وخالية من العنف وشاملة للجميع
global_targets:4-b---title,"2020년까지 전 세계적으로 개도국, 특히 최빈국, 군소도서개발국, 아프리카 국가나 선진국이나 기타 개발도상국의 직업훈련, ICT, 과학기술 및 공학분야를 포함한 고등교육에 등록하도록 지원하는 장학금을 실질적으로 확대",التوســع بصــورة ملحوظة على الصــعيد العالمي في عدد المنح المدرســية المتاحة للبلدان النامية، ولا ســيما أقل البلدان نموا، والدول الجزرية الصغيرة النامية، والبلدان الأفريقية، للالتحاق بالتعليم العالي، بما في ذلك التدريب المهني وتكنولوجيا المعلومات والاتصالات، والبرامج التقنيـة والهنـدسـية  والعلميـة في البلـدان المتقـدمـة والبلـدان النامية الأخرى، بحلول عام 2030
global_targets:4-c---title,"2030년까지 개발도상국, 특히 최빈국 및 군소도서개발국에서 교사훈련을 위한 국제협력을 통해 양성된 교사를 포함하여 자격을 갖춘 교사 공급을 실질적으로 증대",تحقيق زيادة كبيرة في عدد المعلمين المؤهلين، بوسـائل منها التعاون الدولي لتدريب المعلمين في البلدان النامية، وبخاصة في أقل البلدان نموّاً والدول الجزرية الصغيرة النامية، بحلول عام 2030 
global_targets:5-1---title,모든 곳에서 모든 여성과 여아에 대한 모든 형태의 차별 종식,القضاء على جميع أشكال التمييز ضد جميع النساء والفتيات في كل مكان
global_targets:5-2---title,"인신매매, 성적 착취 및 기타 형태의 착취를 포함하여 공적 및 사적 영역에서 모든 여성과 여아에 대한 모든 형태의 폭력 근절",القضاء على جميع أشكال العنف ضد جميع النساء والفتيات في المجالين العام والخاص، بما في ذلك الاتجار بالبشـر والاسـتغلال الجنسي وغير ذلك من أنواع الاستغلال
global_targets:5-3---title,"아동 결혼, 조혼 및 강제결혼, 여성성기절제와 같은 모든 유해한 관습 근절",القضاء على جميع الممارسـات الضـارة، من قبيل زواج الأطفال، والزواج المبكر، والزواج القسـري، وتشـويه الأعضاء التناسلية للإناث
global_targets:5-4---title,"국가별 상황에 맞는 공공서비스, 사회기반시설 및 사회보호정책의 제공과 가구 및 가족 내 책임부담 촉진을 통해 무보수 가사노동과 돌봄노동을 인지하고 가치를 부여",الاعتراف بـأعمـال الرعـايـة والعمـل المنزلي غير المـدفوعـة الأجر وتقديرها، بتوفير الخدمات العامة والهياكل الأسـاسـية، ووضع ســياسات للحماية الاجتماعية، وتعزيز تقاسم المسـؤولية داخل الأسـرة المعيشـية والعائلة، حسـبما يكون ذلك مناسـبا على الصـعيد الوطني
global_targets:5-5---title,"정치, 경제, 공공부문에서 모든 단계의 의사결정과정에서 여성의 완전하고 효과적인 참여와 리더십에 대한 평등한 기회를 보장",كفالة المشــاركة الكاملة والفعالة للمرأة وفرصــها المتســاوية مع الرجل في شـغل المناصـب القيادية على جميع مسـتويات صـنع القرار في الحياة السياسية والاقتصادية والعامة
global_targets:5-6---title,"국제인구개발회의(ICPD) 행동계획과 북경 행동강령 및 이에 대한 검토회의 결과문서에 따라 모든 이가 성, 생식보건, 재생산권에 대한 보편적인 접근을 보장",كفالة حصـول الجميع على خدمات الصـحة الجنسـية والإنجــابيــة وعلى الحقوق الإنجــابيــة، على النحو المتفق عليــه وفقــا لبرنامج عمل المؤتمر الدولي للسـكان والتنمية ومنهاج عمل بيجين و الوثائق الختامية لمؤتمرات استعراضهما
global_targets:5-a---title,"경제적 자원, 소유권, 토지 및 기타 형태의 부동산, 상속, 천연자원, 금융서비스 등의 평등한 권리를 여성에게 보장하도록 개혁 실시",إجراء إصلاحـات لمنح المرأة حقوقـا متسـاويـة في الموارد الاقتصـــادية، وكذلك إمكانية حصـــولها على حق الملكية والســـيطرة على الأرض وغيرها من الممتلكات، وعلى الخدمات المالية، والميراث والموارد الطبيعية، وفقا للقوانين الوطنية
global_targets:5-b---title,여성의 권한 증대를 위해 유용한 기술사용 강화 (특히 ICT),تعزيز اسـتخدام التكنولوجيا التمكينية، وبخاصة تكنولوجيا المعلومات والاتصالات، من أجل تعزيز تمكين المرأة
global_targets:5-c---title,모든 수준에서 모든 여성과 여아의 권한강화와 성평등 촉진을 위해 명확한 정책과 집행가능한 법을 채택하고 강화,اعتماد سـياسـات سـليمة وتشـريعات قابلة للإنفاذ وتعزيز هذه الســياســات والتشــريعات للنهوض بالمســاواة بين الجنســين وتمكين كل النساء والفتيات على جميع المستويات
global_targets:6-1---title,2030년까지 안전한 식수에 대한 보편적 접근성 제공,تحقيق هدف حصـول الجميع على نحو منصف على مياه الشرب المأمونة والميسورة التكلفة بحلول عام 2030
global_targets:6-2---title,각별히 여성 및 소녀의 필요성을 고려하여 2030년까지 충분하고 공평한 위생시설 보장; 노상배변(open defecation) 근절,تحقيق هدف حصـول الجميع على خدمات الصـرف الصـحي والنظافة الصـحية، وإنهاء التغوط في العراء، وإيلاء اهتمام خاص لاحتياجات النسـاء والفتيات ومن يعيشـون في أوضـاع هشـة، بحلول عام 2030
global_targets:6-3---title,"2030년까지, 오염 감소, 유해 화학물질 투기 근절 및 배출 최소화를 통해 미처리된 하수 비율을 절반으로 줄이고 재활용 및 안전한 재사용을 전 세계적으로 대폭 확대",تحســـــين نوعية المياه بالحد من التلوث، ووقف إلقاء النفايات والمواد الكيميـائيـة الخطرة، وتقليـل تسرّبهـا إلى أدنى حـد، وخفض نسـبة مياه المجاري غير المعالجة إلى النصـف، وزيادة إعادة التدوير وإعادة الاسـتخدام المأمون بنسـبة كبيرة على الصـعيد العالمي، بحلول عام 2030
global_targets:6-4---title,2030년까지 전 부문에서의 물 사용 효율을 높이고 공급에 맞는 담수 회수(freshwater withdrawals) 및 공급으로 물 부족에 대응,تحقيق زيـادة كبيرة في كفـاءة اسـتخـدام المياه في جميع القطاعات، وكفالة سـحب المياه العذبة وإمداداتها على نحو مسـتدام من أجل معالجة شــح المياه، والحد بقدر كبير من عدد الأشـــخاص الذين يعانون من ندرة المياه، بحلول عام 2030
global_targets:6-5---title,2030년까지 국경 간 협력을 포함하여 통합된 물 자원 관리 이행,تنفيـذ الإدارة المتكـاملـة لموارد الميـاه على جميع المسـتويـات، بوسـائل منها التعاون العابر للحدود، حسـب الاقتضاء، بحلول عام 2030
global_targets:6-6---title,"2020년까지, 산, 산림, 습지, 강, 대수층 및 호수 등 물 관련 생태계를 보호 및 복원",حماية وترميم النظم الإيكولوجية المتصلة بالمياه، بما في ذلك الجبال والغابات والأراضـي الرطبة والأنهار ومسـتودعات المياه الجوفية والبحيرات، بحلول عام 2020
global_targets:6-a---title,물·위생 활동 및 프로그램과 관련하여 2030년까지 개발도상국가에 대한 국제협력 및 역량배양 지원을 확대,توسـيع نطـاق التعـاون الـدولي وتقـديم الـدعم في مجـال بنـاء القدرات إلى البلدان النامية في الأنشــطة والبرامج المتصلة بالمياه والصـرف الصـحي، بما في ذلك جمع المياه، وإزالة ملوحتها، وكفاءة استخدام المياه، ومعالجة المياه المستعملة، وتكنولوجيات إعادة التدوير وإعادة الاستخدام
global_targets:6-b---title,물·위생 관리 개선을 위해 지역사회 참여 지원 및 강화,دعم وتعزيز مشـــاركة المجتمعات المحلية في تحسـين إدارة المياه والصرف الصحي
global_targets:7-1---title,2030년까지 적절한 가격과 지속가능하며 현대화된 에너지 서비스의 보편적 접근 보장,كفالة حصـول الجميع بتكلفة ميسـورة على خدمات الطاقة الحديثة الموثوقة بحلول عام 2030
global_targets:7-2---title,2030년까지 재생가능에너지 비중을 상당하게 증가,تحقيق زيادة كبيرة في حصـة الطـاقـة المتجــددة في مزيج الطاقة العالمي
global_targets:7-3---title,2030년까지 에너지 효율성 향상 글로벌 비율을 두 배 증가,مضاعفة المعدل العالمي للتحسُّن في كفاءة اســتخدام الطاقة بحلول عام 2030
global_targets:7-a---title,2030년까지 청정에너지 연구개발 이행을 위해 국제협력 강화,تعزيز التعـاون الـدولي من أجـل تيســير الوصـول إلى بحوث وتكنولوجيــا الطــاقــة النظيفــة، بمــا في ذلــك تلــك المتعلّقــة بــالطــاقــة المتجــددة، والكفــاءة في اســتخــدام الطــاقــة، وتكنولوجيــا الوقود الأحفوري المتقدمة والأنظف، وتشـجيع الاســتثمار في الهياكل الأساسية للطاقة وتكنولوجيا الطاقة النظيفة، بحلول عام 2030
global_targets:7-b---title,2030년까지 개발도상국에 현대화된 지속 가능한 에너지서비스를 공급하기 위하여 에너지 기반 시설 확장 및 기술 업그레이드,وسيع نطاق الهياكل الأساسية وتحسين مستوى التكنولوجيا من أجـل تقـديم خـدمـات الطـاقـة الحـديثـة والمسـتـدامـة للجميع في البلدان النامية، وبخاصـة في أقل البلدان نمواً، والدول الجزرية الصغرة النامية،  والبلدان النامية غير السـاحلية، وفقاً لبرامج الدعم المقدم لكل منها، بحلول عام 2030
global_targets:8-1---title,국가별 상황에 맞게 1인당 경제성장을 유지하고 특히 최빈개도국은 최소한 연간 7% GDP 성장률 유지,الحفاظ على النمو الاقتصادي الفردي وفقاً للظروف الوطنية، وبخاصة الحفاظ على نمو الناتج المحلي الإجمالي بنسبة 7 في المائة على الأقل سنوياً في أقل البلدان نمواً
global_targets:8-10---title,"보험업, 금융업 및 금융지원서비스의 접근가능범위를 확대하기 위해 국가 내 금융 기관의 역량 강화",
global_targets:8-2---title,"노동집약적 산업부문 및 고부가가치 산업에 포커스를 두고 사업 다각화, 기술업그레이드 및 혁신으로 생산성 향상",تحقيق مســـتويات أعلى من الإنتاجية الاقتصادية من خلال التنويع، والارتقاء بمســتوى التكنولوجيا والابتكار، بطرق تشـمل التركيز على القطاعات المتســـمة بالقيمة المضـافة العالية والقطاعات الكثيفة العمالة
global_targets:8-3---title,"생산적 활동, 일자리 창출, 기업가 활동, 창의성 및 혁신을 지원하는 개발지향형 정책 촉진; 중소기업 육성",تعزيز السـياسات الموجهة نحو التنمية والتي تدعم الأنشـــطة الإنتاجية، وفرص العمل اللائق، ومباشـرة الأعمال الحرة، والقدرة على الإبداع والابتكار، وتشـجع على إضـفاء الطابع الرسمي على المشـاريع المتناهية الصـغر والصـغيرة والمتوسـطة الحجم، ونموها، بطرق منها الحصول على الخدمات المالية
global_targets:8-4---title,2030년까지 소비 및 생산에서의 국제적 자원 효율을 점진적으로 개선; 선진국의 주도하에 10년 주기 프로그램을 통하여 경제 성장으로 인한 환경훼손 억제,تحســين الكفــاءة في اســتخـدام الموارد العــالميــة في مجــال الاستهلاك والإنتاج، تدريجيا، حتى عام 2030، والسعي إلى فصل النمو الاقتصــادي عن التدهور البيئي، وفقا للإطار العشــري للبرامج المتعلق بالاسـتهلاك والإنتاج المسـتدامين، مع اضطلاع البلدان المتقدمة النمو بدور الريادة
global_targets:8-5---title,"2030년까지 장애가 있는 젊은 사람을 포함, 모든 남녀의 완전 고용을 달성; 동등한 가치의 업무에 대해 동등한 보수 보장",تحقيق العمـالـة الكـاملـة والمنتجـة وتوفير العمـل اللائق لجميع النسـاء والرجال، بمن فيهم الشـباب والأشـخاص ذوو الإعاقة، وتكافؤ الأجر لقاء العمل المتكافئ القيمة، بحلول عام 2030
global_targets:8-6---title,"2020년까지 고용, 교육 또는 훈련 상태에 있지 않은 청년 비율을 상당 수준으로 감소",الحد بقدر كبير من نســبة الشــباب غير الملتحقين بالعمالة أو التعليم أو التدريب، بحلول عام 2020
global_targets:8-7---title,"강제노동 근절, 현대식 노예 및 인신매매 종식, 소년병 동원 및 징집 등 최악의 아동 노동 형태 금지 및 근절. 2025년까지 모든 형태의 아동 노동 근절",اتخاذ تدابير فورية وفعالة للقضاء على السـخرة، وإنهاء الرق المعاصـر والاتجار بالبشــر، وضـمان حظر واسـتئصال أسـوأ أشـكال عمل الأطفال، بما في ذلك تجنيدهم واسـتخدامهم كجنود، وإنهاء عمل الأطفال بجميع أشكاله، بحلول عام 2025
global_targets:8-8---title,고용이 불안정한 노동자 및 이주노동자(특히 여성)의 노동권 보호 및 안전한 작업환경 촉진,حماية حقوق العمل وإيجاد بيئات عمل توفر السـلامة والأمن لجميع العمال، بمن فيهم العمال المهاجرون، وبخاصة المهاجرات، والعاملون في الوظائف غير المستقرة
global_targets:8-9---title,"2030년까지 일자리를 창출하고, 지역 문화와 제품들을 증진하는 지속 가능 관광 촉진을 위한 정책들의 설계 및 시행",وضع وتنفيذ سـياسـات تهدف إلى تعزيز السـياحة المســتدامة التي توفر فرص العمـل وتعزز الثقـافـة والمنتجـات المحلية، بحلول عام 2030
global_targets:8-a---title,"개발도상국, 특히 최빈개도국에 대한 무역원조의 증가 (최빈개도국을 위한 무역관계 기술지원을 위한 강화된 통합프레임하에서 이루어지는 원조를 포함)",زيـادة دعم المعونـة المقـدمـة من أجـل التجـارة للبلـدان النـاميـة، وبخاصة أقل البلدان نمواً، بوسـائل منها الإطار المتكامل المعزز للمساعدة التقنية المتصلة بالتجارة المقدمة إلى أقل البلدان نمواً
global_targets:8-b---title,2020년까지 청년실업에 대한 글로벌 전략 수립 및 운영; 국제노동기구의 ILO Global Jobs Pact 이행, وضع وتفعيل اسـتراتيجية عالمية لتشـغيل الشــباب وتنفيذ الميثـاق العـالمي لتوفير فرص للعمـل، الصادر عن منظمـة العمـل الدولية، بحلول عام 2020
global_targets:9-1---title,"경제발전 및 인간의 웰빙을 위한 고품질, 신뢰성 높은, 지속가능한 탄력적 기반시설 구축",إقامة هياكل أسـاسـية جيدة النوعية وموثوقة ومسـتدامة وقادرة على الصــمود، بما في ذلك هياكل أســاســية إقليمية وعابرة للحدود، لدعم التنمية الاقتصادية ورفاه الإنسان، مع التركيز على تيسير سُبُل استفادة الجميع منها بتكلفة ميسورة وعلى قدم المساواة
global_targets:9-2---title,포괄적이고 지속가능한 산업화 촉진; 2030년까지 산업부문의 고용률을 상당 수준으로 증가(최빈개도국의 경우 2배로 증가),تعزيز التصـنيع الشـامل للجميع والمسـتدام، وتحقيق زيادة كبيرة بحلول عام 2030 في حصة الصـناعة في العمالة وفي الناتج المحلي الإجمالي، بما يتماشى مع الظروف الوطنية، ومضاعفة حصـتها في أقل البلدان نمواً
global_targets:9-3---title,소규모 산업체의 가치사슬 및 시장으로의 통합 및 금융서비스 접근가능성 강화(특히 개발도상국),زيادة فرص حصول المشاريع الصناعية الصغيرة الحجم وسائر المشــاريع، ولا ســيما في البلدان النامية، على الخدمات المالية، بما في ذلك الائتمانات الميسـورة التكلفة، وإدماجها في سـلاسـل القيمة والأسواق
global_targets:9-4---title,자원사용 효율 제고와 청정/환경 친화 기술 및 산업공정의 도입을 통해 2030년까지 기반시설과 낙후된 산업시설을 지속가능한 환경으로 개선 및 개조하고 모든 국가들은 각자의 역량에 따라 이를 이행함,تحســين الهياكل الأسـاســية وتحديث الصـــناعات بحلول عام 2030  لجعلها مســتدامة، مع زيادة كفاءة اسـتخدام الموارد وزيادة اعتماد التكنولوجيات والعمليات الصـــناعية النظيفة والســـليمة بيئياً، ومع قيام جميع البلدان باتخاذ إجراءات وفقاً لقدرات كل منها
global_targets:9-5---title,"2030년까지, 인구 백만 명 당 연구 개발 종사자의 수와 공공/민간 연구 개발 지출 대폭 증가 및 혁신 장려 등을 통해, 모든 국가, 특히 개발도상국의 과학 연구 강화, 산업 부문의 기술 역량 향상",تعزيز البحــث العلمي، وتحسـين القـدرات التكنولوجيــة في القطاعات الصـناعية في جميع البلدان، ولا ســيما البلدان النامية، بما في ذلك، بحلول عام 2030، تشـجيع الابتكار وتحقيق زيادة كبيرة في عــدد العـاملين في مجـال البحـث والتطوير لكل مليون شـخص، وزيادة إنفاق القطاعين العام والخاص على البحـث والتطوير
global_targets:9-a---title,"아프리카 국가들, 최빈개도국들, 소규모 도서 개발도상국에 대한 강화된 금융, 기술, 전문적 지원을 통해, 개발도상국들에서 지속 가능하고, 회복탄력성을 갖춘 인프라 개발 촉진",تيسير إنشاء هياكل أساسية مستدامة وقادرة على الصمود في البلدان النامية، بتحسـين الدعم المالي والتكنولوجي والتقني المقدم للبلدان الأفريقية، وأقل البلدان نمواً، والبلدان النامية غير الساحلية، والدول الجزرية الصغيرة النامية
global_targets:9-b---title,"산업 다각화, 상품가치를 부가시키는 산업 환경 정책을 보장하여 개발도상국가의 국내 기술개발, 연구 및 혁신이 이루어지도록 지원",دعم أنشـطـة التطوير والبحـث والابتكـار في التكنولوجيـا المحلية في البلدان النامية، بوسـائل منها كفالة وجود بيئة مؤاتية من حيث السـياسـات للتنويع الصـناعي وإضـافة قيمة للسـلع الأسـاسـية بين أمور أخرى
global_targets:9-c---title,"ICT 접근성을 상당 수준으로 증가시키고, 2020년까지 최빈개도국의 보편적인 인터넷 접근성(access) 달성을 위해 노력",تحقيق زيادة كبيرة في فرص الحصول على تكنولوجيا المعلومات والاتصــالات، والســعي إلى توفير فرص الوصــول الشــامل والميسـور إلى شـبكة الإنترنـت في أقـل البلـدان نموا، بحلول عـام 2020
status:exploring_data_sources,작업중,استكشاف مصادر البيانات
status:not_applicable,Not applicable,لايمكن تطبيقه
status:overall_reporting_status,지표 작성 현황,وضع الاعلان العام
status:reported_online,이용가능,اعلن على الانترنت
status:reporting_status,지표 현황,وضع الاعلان
status:statistics_in_progress,Statistics in progress,الاحصائيات دائرة
status:status_by_goal,목표별 현황,الحالة حسب الهدف
post:posts_by_category,Posts by Category,المنشورات حسب الفئة
post:view_all_in_category,View all posts in the %category_name category,عرض كل المنشورات في فئة %category_name
metadata_fields:comments_limitations,비고,معلومات اخرى
metadata_fields:computation_calculations,산식,عمليات حسابية
metadata_fields:computation_definitions,정의,تعريفات
metadata_fields:computation_units,단위,وحدة قياس
metadata_fields:goal_meta_link,UN 메타데이터 링크,رابط الى البيانات الوصفية للامم المتحدة
metadata_fields:indicator,지표 번호,رقم المؤشر
metadata_fields:indicator_definition,지표 상세 설명,وصف المؤشر العالمي
metadata_fields:indicator_name,지표명,اسم المؤشر
metadata_fields:indicator_sort_order,지표 정렬 번호,ترتيب عرض المؤشر (داخل صفحة الهدف)
metadata_fields:national_data_update_url,데이터 갱신 이력,آخر تحديث للبيانات
metadata_fields:national_geographical_coverage,지역적 범위,تغطية جغرافية
metadata_fields:national_indicator_available,지표 가용성,مؤشر متاح
metadata_fields:national_indicator_description,지표 상세 설명,وصف المؤشر
metadata_fields:national_metadata_update_url,메타데이터 갱신 이력,آخر تحديث للبيانات الوصفية
metadata_fields:source_contact_1,연락처,تفاصيل الاتصال
metadata_fields:source_contact_2,연락처,تفاصيل الاتصال
metadata_fields:source_contact_3,연락처,تفاصيل الاتصال
metadata_fields:source_contact_4,연락처,تفاصيل الاتصال
metadata_fields:source_contact_5,연락처,تفاصيل الاتصال
metadata_fields:source_contact_6,연락처,تفاصيل الاتصال
metadata_fields:source_earliest_available_1,최초 공표,احدث البيانات المتوفرة
metadata_fields:source_earliest_available_2,최초 공표,احدث البيانات المتوفرة
metadata_fields:source_earliest_available_3,최초 공표,احدث البيانات المتوفرة
metadata_fields:source_earliest_available_4,최초 공표,احدث البيانات المتوفرة
metadata_fields:source_earliest_available_5,최초 공표,احدث البيانات المتوفرة
metadata_fields:source_earliest_available_6,최초 공표,احدث البيانات المتوفرة
metadata_fields:source_geographical_coverage_1,지역적 범위,التغطية الجغرافية
metadata_fields:source_geographical_coverage_2,지역적 범위,التغطية الجغرافية
metadata_fields:source_geographical_coverage_3,지역적 범위,التغطية الجغرافية
metadata_fields:source_geographical_coverage_4,지역적 범위,التغطية الجغرافية
metadata_fields:source_geographical_coverage_5,지역적 범위,التغطية الجغرافية
metadata_fields:source_geographical_coverage_6,지역적 범위,التغطية الجغرافية
metadata_fields:source_next_release_1,다음 공표일,الاصدار التالي
metadata_fields:source_next_release_2,다음 공표일,الاصدار التالي
metadata_fields:source_next_release_3,다음 공표일,الاصدار التالي
metadata_fields:source_next_release_4,다음 공표일,الاصدار التالي
metadata_fields:source_next_release_5,다음 공표일,الاصدار التالي
metadata_fields:source_next_release_6,다음 공표일,الاصدار التالي
metadata_fields:source_organisation_1,작성기관,منظمة
metadata_fields:source_organisation_2,작성기관,منظمة
metadata_fields:source_organisation_3,작성기관,منظمة
metadata_fields:source_organisation_4,작성기관,منظمة
metadata_fields:source_organisation_5,작성기관,منظمة
metadata_fields:source_organisation_6,작성기관,منظمة
metadata_fields:source_other_info_1,비고,معلومات اخرى
metadata_fields:source_other_info_2,비고,معلومات اخرى
metadata_fields:source_other_info_3,비고,معلومات اخرى
metadata_fields:source_other_info_4,비고,معلومات اخرى
metadata_fields:source_other_info_5,비고,معلومات اخرى
metadata_fields:source_other_info_6,비고,معلومات اخرى
metadata_fields:source_periodicity_1,작성주기,دورية
metadata_fields:source_periodicity_2,작성주기,دورية
metadata_fields:source_periodicity_3,작성주기,دورية
metadata_fields:source_periodicity_4,작성주기,دورية
metadata_fields:source_periodicity_5,작성주기,دورية
metadata_fields:source_periodicity_6,작성주기,دورية
metadata_fields:source_release_date_1,공표일,تاريخ الاصدار
metadata_fields:source_release_date_2,공표일,تاريخ الاصدار
metadata_fields:source_release_date_3,공표일,تاريخ الاصدار
metadata_fields:source_release_date_4,공표일,تاريخ الاصدار
metadata_fields:source_release_date_5,공표일,تاريخ الاصدار
metadata_fields:source_release_date_6,공표일,تاريخ الاصدار
metadata_fields:source_statistical_classification_1,통계분류,التصنيف الإحصائي
metadata_fields:source_statistical_classification_2,통계분류,التصنيف الإحصائي
metadata_fields:source_statistical_classification_3,통계분류,التصنيف الإحصائي
metadata_fields:source_statistical_classification_4,통계분류,التصنيف الإحصائي
metadata_fields:source_statistical_classification_5,통계분류,التصنيف الإحصائي
metadata_fields:source_statistical_classification_6,통계분류,التصنيف الإحصائي
metadata_fields:source_url_1,출처 링크,رابط الى مصدر البيانات
metadata_fields:source_url_2,출처 링크,رابط الى مصدر البيانات
metadata_fields:source_url_3,출처 링크,رابط الى مصدر البيانات
metadata_fields:source_url_4,출처 링크,رابط الى مصدر البيانات
metadata_fields:source_url_5,출처 링크,رابط الى مصدر البيانات
metadata_fields:source_url_6,출처 링크,رابط الى مصدر البيانات
metadata_fields:target,세부목표명,اسم الهدف
metadata_fields:target_id,세부목표 번호,رقم الهدف
metadata_fields:un_custodian_agency,소관 국제기구,وكالة الوصاية للأم المتحدة
metadata_fields:un_designated_tier,티어(Tier),الطبقة المعينة من الأمم المتحدة
menu:about,소개,عن
menu:contact_us,Contact us,اتصل بنا
menu:cookies,Cookies,ملفات تعريف الارتباط
menu:faq,FAQ,أسئلة شائعة
menu:guidance,매뉴얼,توجيه
menu:menu,메뉴,قائمة
menu:publications,참고자료,منشورات
menu:reporting_status,지표 작성 현황,حالة التقارير
frontpage:heading,[테스트 중입니다] 한국의 SDGs 지표,%name بيانات لمؤشرات اهداف التنمية المستدامة
frontpage:instructions,"지표별 상세 데이터를 확인하시려면, 아래 아이콘을 클릭하거나 %before_link 검색창 %after_link 을 이용하시기 바랍니다.",انقر على كل هدف %before_link او ابحث عن %after_link احصائيات %name الخاصة بالمؤشرات العالمية لأهداف التنمية المستدامة
