key,en,ru
global_targets:14-a---title,"해양건강 개선 및 해양 다양성 강화를 통해 개발도상국가, 특히 군소도서 개발국과 최빈개도국들의 개발에 기여하도록 연구역량 증대 및 과학지식, 선진해양기술 이전(정부간해양학위원회의 해양기술이전에 대한 기준과 지침을 고려)","Увеличить объем научных знаний, расширить
научные исследования и обеспечить передачу морских
технологий, принимая во внимание Критерии и
руководящие принципы в отношении передачи морских
технологий, разработанные Межправительственной
океанографической комиссией, с тем
чтобы улучшить экологическое состояние океанской
среды и повысить вклад морского биоразнообразия
в развитие развивающихся стран, особенно малых
островных развивающихся государств и наименее
развитых стран"
global_targets:14-b---title,소규모 영세어업자들에 해양자원 및 시장 접근성 제공,"Обеспечить доступ мелких хозяйств, занимающихся
кустарным рыбным промыслом, к морским
ресурсам и рынкам
"
global_targets:14-c---title,우리가 원하는 미래 (The Future We Want) 보고서의 158번째 단락에서 상기된 대양 및 대양자원의 보전 및 지속가능한 이용을 위한 법적기반을 제시하는 UNCLOS에 반영된 국제법 이행을 통해 대양 및 대양 자원의 보전 및 지속가능한 이용을 개선,"Улучшить работу по сохранению и рациональному
использованию океанов и их ресурсов путем
соблюдения норм международного права, закрепленных
в Конвенции Организации Объединенных
Наций по морскому праву, которая, как отмечено в
пункте 158 документа «Будущее, которого мы хотим»,
закладывает юридическую базу для сохранения
и рационального использования Мирового океана
и его ресурсов
"
global_targets:15-1---title,"2020년까지, 국제 협약 의무에 따라, 특히 산림, 습지, 산, 건조지 등의 육지 및 내륙 담수 생태계와 그 서비스에 대한 보전, 복원 및 지속가능한 사용을 보장","К 2020 году обеспечить сохранение, восстановление
и рациональное использование наземных и
внутренних пресноводных экосистем и их услуг, в том числе лесов, водно-болотных угодий, гор и засушливых
земель, в соответствии с обязательствами,
вытекающими из международных соглашений"
global_targets:15-2---title,"2020년까지 모든 형태의 산림에 대한 지속가능한 관리를 촉진시키고, 산림벌채를 중단하고, 황폐화된 산림을 복원하고 전 세계적으로 조림과 재식림을 대폭 확대","К 2020 году содействовать внедрению методов
рационального использования всех типов лесов,
остановить обезлесение, восстановить деградировавшие
леса и значительно расширить масштабы лесонасаждения
и лесовосстановления во всем мире"
global_targets:15-3---title,"2030년까지 사막화 퇴치와 사막화, 가뭄, 홍수로 영향을 받은 토지를 포함하여, 황폐화된 토지 및 토양 복원, 그리고 토지 황폐화 가 없는 세계 달성을 위해 노력","К 2030 году вести борьбу с опустыниванием,
восстановить деградировавшие земли и почвы,
включая земли, затронутые опустыниванием, засухами
и наводнениями, и стремиться к тому, чтобы во
всем мире не ухудшалось состояние земель"
global_targets:15-4---title,"2030년까지 지속가능발전에 필수적인 이익을 주는 산림생태계의 수용력을 증진하기 위해, 생물다양성을 포함한 산림 생태계 보존을 보장","К 2030 году обеспечить сохранение горных
экосистем, в том числе их биоразнообразия, для того
чтобы повысить их способность давать блага, необходимые
для устойчивого развития"
global_targets:15-5---title,자연 서식지의 황폐화를 감소시키고 생물다양성의 손실을 중단시키기 위해 시급하고 대대적인 조치를 취하고 2020년까지 멸종위기 종을 보호하고  멸종을 예방,"Незамедлительно принять значимые меры по
сдерживанию деградации природных сред обитания,
остановить утрату биологического разнообразия и к
2020 году обеспечить сохранение и предотвращение
исчезновения видов, находящихся под угрозой вымирания"
global_targets:15-6---title,"국제적으로 합의된 바와 같이, 유전자원의 활용으로부터 발생하는 이익의 공정하고 공평한 분배 보장 및 유전자원에 대한 적절한 접근 증대","Содействовать справедливому распределению
благ от использования генетических ресурсов и способствовать
обеспечению надлежащего доступа к
таким ресурсам на согласованных на международном
уровне условиях"
global_targets:15-7---title,"보호동식물의 밀렵과 밀매 근절을 위한 즉각적인 행동을 촉구하고, 불법야생동식물제품의 수요와 공급에 대응","Незамедлительно принять меры для того,
чтобы положить конец браконьерству и контрабандной
торговле охраняемыми видами флоры и фауны и
решить проблемы, касающиеся как спроса на незаконные
продукты живой природы, так и их предложения"
global_targets:15-8---title,"2020년까지 육상 및 수중 생태계를 교란하는 외래종의 유입을 방지하고, 그로 인한 영향을 현저히 감소시키는 방안을 도입하며, 우선대응 및 대상종을 통제 및 박멸","К 2020 году принять меры по предотвращению
проникновения чужеродных инвазивных видов и по
значительному уменьшению их воздействия на
наземные и водные экосистемы, а также принять
меры по предотвращению ограничения численности
или уничтожения приоритетных видов"
global_targets:15-9---title,2020년까지 생태계 및 생물다양성 가치를 국가 및 지역 계획․개발 과정 그리고 빈곤퇴치 전략 및 회계에 반영,"К 2020 году обеспечить учет ценности экосистем
и биологического разнообразия в ходе общенационального
и местного планирования и процессов
развития, а также при разработке стратегий и планов
сокращения масштабов бедности
"
global_targets:15-a---title,생물다양성 및 생태계 보호 및 지속가능한 사용을 위한 재원 동원,"Мобилизовать и значительно увеличить финансовые
ресурсы из всех источников в целях сохранения
и рационального использования биологического
разнообразия и экосистем"
global_targets:15-b---title,지속가능한 삼림관리에 대한 재원 마련을 위해 모든 수준에서 주요한 자원을 모두 동원하고 개발도사국이 보존 및 재식림 등을 위한 삼림 관리를 즈진할 수 있도록 충분한 인센티브를 제공,"Мобилизовать значительные ресурсы из всех
источников и на всех уровнях для финансирования
рационального лесопользования и дать развивающимся
странам адекватные стимулы для применения
таких методов управления, в том числе в целях
сохранения и восстановления лесов"
global_targets:15-c---title,지속가능한 생계수단의 추구를 위한 지역사회의 역량 제고를 포함하여 멸종위기종의 밀렵 및 밀매 활동 근절을 위한 글로벌 차원의 노력 강화,"Активизировать глобальные усилия по борьбе
с браконьерством и контрабандной торговлей охраняемыми
видами, в том числе путем расширения
имеющихся у местного населения возможностей получать
средства к существованию экологически безопасным
образом"
global_targets:16-1---title,모든 지역에서 일어나는 모든 형태의 폭력과 관련 사망률을 상당 수준으로 감소,Значительно сократить распространенность всех форм насилия и уменьшить показатели смертности от этого явления во всем мире
global_targets:16-10---title,국내법 및 국제조약에 따라 정보에 대한 대중의 접근성을 보장하고 기본적인 자유를  보호,"Обеспечить доступ общественности к информации
и защитить основные свободы в соответствии
с национальным законодательством и международными
соглашениями"
global_targets:16-2---title,"아동에 대한 학대, 착취, 인신매매 및 모든 형태의 폭력과 고문 종식","Положить конец надругательствам, эксплуатации,
торговле и всем формам насилия и пыток в отношении
детей"
global_targets:16-3---title,"국가적 및 국제적 수준에서 법치를 증진하며, 모두에게 평등한 사법 접근권을 보장","Содействовать верховенству права на национальном
и международном уровнях и обеспечить
всем равный доступ к правосудию"
global_targets:16-4---title,"2030년까지 불법 자금 및 무기 거래를 상당 수준으로 감소, 은닉재산 회수 및 환수를 강화하며, 모든 형태의 조직화된 범죄를 방지","К 2030 году значительно уменьшить незаконные
финансовые потоки и потоки оружия, активизировать
деятельность по обнаружению и возвращению
похищенных активов и вести борьбу со всеми
формами организованной преступности
"
global_targets:16-5---title,모든 형태의 부정부패 및 뇌물을 대폭 감소,"Значительно сократить масштабы коррупции и
взяточничества во всех их формах"
global_targets:16-6---title,"모든 수준에서 효과적이고, 책임 있고, 투명한 제도 개발","Создать эффективные, подотчетные и прозрачные
учреждения на всех уровнях"
global_targets:16-7---title,"모든 수준에서 의사결정이 대응적, 포용적, 참여적이며 대표성을 갖출 수 있도록 보장","Обеспечить ответственное принятие решений
репрезентативными органами на всех уровнях с участием
всех слоев общества"
global_targets:16-8---title,글로벌 거버넌스 제도 하에서 개발도상국의 참여를 확대하고 강화,"Расширить и активизировать участие развивающихся
стран в деятельности органов глобального
регулирования"
global_targets:16-9---title,2030년까지 출생등록을 포함하여 모두에게 법적신원 제공,"К 2030 году обеспечить наличие у всех людей
законных удостоверений личности, включая свидетельства
о рождении"
global_targets:16-a---title,"폭력예방 및 테러, 범죄 예방 차원에서  모든 수준, 특히 개도국에서 역량강화를 위해 국제협력 등을 포함하여 관련된 국내 제도 강화","Укрепить соответствующие национальные
учреждения, в том числе благодаря международному
сотрудничеству, в целях наращивания на всех уровнях
— в частности в развивающихся странах — потенциала
в деле предотвращения насилия и борьбы
с терроризмом и преступностью"
global_targets:16-b---title,지속가능발전을 위한 비차별적 법률과  정책의 증진 및 강화," Поощрять и проводить в жизнь недискриминационные
законы и политику в интересах устойчивого
развития"
global_targets:17-1---title,조세 및 기타 수입 징수 국내역량 개선을 위해 국내재원 동원 강화 (개발도상국에 대한 국제지원 포함),"Усилить мобилизацию ресурсов из внутренних источников, в том числе благодаря международной поддержке развивающихся стран, с тем чтобы повысить национальные возможности по сбору налогов и других доходов"
global_targets:17-10---title,"도하개발의제 협상 타결을 통하여 세계무역기구(WTO)하에서의 보편적, 규칙기반, 개방적, 비차별적, 공평한 다자무역제도 촉진","Поощрять универсальную, основанную на
правилах, открытую, недискриминационную и справедливую
многостороннюю торговую систему в
рамках Всемирной торговой организации, в том
числе благодаря завершению переговоров по ее Дохинской
повестке дня в области развития"
global_targets:17-11---title,2020년까지 전 세계 수출에서 최빈개도국의 비중을 2배 증대하는 것을 목표로 개발도상국의 수출을 대폭 증대,"Значительно увеличить экспорт развивающихся
стран, в частности в целях удвоения доли
наименее развитых стран в мировом экспорте к
2020 году
"
global_targets:17-12---title,최빈개도국 수입품에 대한 특혜 원산지규정 투명성 및 명료성을 포함하여 최빈개도국의 무관세 및 수량규제 없는 시장접근에 대한 WTO 결정을 시의성 있게 이행,"Обеспечить своевременное предоставление
всем наименее развитым странам на долгосрочной
основе беспошлинного и неквотируемого доступа на
рынки в соответствии с решениями Всемирной торговой
организации, в том числе путем обеспечения
того, чтобы преференциальные правила происхождения,
применяемые в отношении товаров, импортируемых
из наименее развитых стран, были прозрачными
и простыми и содействовали облегчению доступа
на рынки"
global_targets:17-13---title,정책일관성 및 조율을 통하여 글로벌거시경제 안전성 강화,"Повысить глобальную макроэкономическую
стабильность, в том числе посредством координации
политики и обеспечения последовательности политики"
global_targets:17-14---title,지속가능발전을 위한 정책일관성 강화,"Сделать более последовательной политику по
обеспечению устойчивого развития"
global_targets:17-15---title,빈곤퇴치아 지속가능발전을 위한 정책을 수립하고 이행하는데 있어 각국의 정책적 재량과 리더십 존중," Уважать имеющееся у каждой страны пространство
для стратегического маневра и ее ведущую
роль в разработке и проведении в жизнь политики
ликвидации нищеты и политики в области
устойчивого развития"
global_targets:17-16---title,"모든 국가, 특히 개도국에서 SDGs 달성을 지원하기 위해, 지식·전문성·기술·재원을 동원 공유하는 다양한 이해당사자간 파트너십에 의해 보완되는 지속가능발전을 위한 글로벌 파트너십 강화","Укреплять Глобальное партнерство в интересах
устойчивого развития, дополняемое партнерствами
с участием многих заинтересованных сторон,
которые мобилизуют и распространяют знания,
опыт, технологии и финансовые ресурсы, с тем
чтобы поддерживать достижение целей в области
устойчивого развития во всех странах, особенно в
развивающихся странах"
global_targets:17-17---title,"파트너십의 경험과 재원조달 전략에 기초하여 효과저긴 공공, 민관, 시민사회  간 파트너십 권장 및 촉진","Стимулировать и поощрять эффективное партнерство
между государственными организациями,
между государственным и частным секторами и
между организациями гражданского общества, опираясь
на опыт и стратегии использования ресурсов
партнеров"
global_targets:17-18---title,"2020년까지 고품질의, 시의성 있고 신뢰도 높은 데이터를 소득, 성, 인종, 민족, 이민·이주신분, 장애상태, 지리적 위치, 기타 국가별 상황에 맞는 특성별로 세분화하여 제공할 수 있도록 개발도상국의 역량 구축 지원 강화"," К 2020 году усилить поддержку в целях наращивания
потенциала развивающихся стран, в том
числе наименее развитых стран и малых островных
развивающихся государств, с тем чтобы значительно
повысить доступность высококачественных, актуальных
и достоверных данных, дезагрегированных
по уровню доходов, гендерной принадлежности,
возрасту, расе, национальности, миграционному статусу,
инвалидности, географическому местонахождению
и другим характеристикам, значимым с учетом
национальных условий"
global_targets:17-19---title,"2030년까지 GDP 보완을 위한 지속가능바전 성과 측정치 개발에 대한 현존 이니셔티브를 기반으로 이를 발전시키고, 개도국의 통계역량구축을 지원","К 2030 году, опираясь на нынешние инициативы,
разработать, в дополнение к показателю валового
внутреннего продукта, и другие показатели измерения
прогресса в деле обеспечения устойчивого
развития и содействовать наращиванию потенциала
развивающихся стран в области статистики"
global_targets:17-2---title,"선진국은 개도국에 GNI의 0.7%를, 최빈개도국에 GNI의 0.15-0.20%를 ODA로 제공하는 것을 포함한 ODA 공약달성을 완전히 이행해야 하고, ODA 제공 국가는 적어도 GNI의 0.20%를 최빈개도국에 제공하는 것을 목표로 고려할 것을 권장","Обеспечить, чтобы развитые страны полностью
выполнили свои обязательства по оказанию
официальной помощи в целях развития (ОПР), в том
числе взятое многими развитыми странами обязательство
достичь целевого показателя выделения
средств по линии ОПР развивающимся странам на
уровне 0,7 процента своего валового национального
дохода (ВНД) и выделения ОПР наименее развитым
странам на уровне 0,15–0,20 процента своего ВНД;
государствам, предоставляющим ОПР, предлагается
рассмотреть вопрос о том, чтобы поставить перед
собой цель выделять не менее 0,20 процента своего
ВНД по линии ОПР наименее развитым странам"
global_targets:17-3---title,개발도상국을 위해 다양한 출처로부터  추가적인 재원 동원,"Мобилизовать дополнительные финансовые
ресурсы из самых разных источников для развивающихся
стран"
global_targets:17-4---title,"필요한 경우 부채조달, 부채탕감, 부채조정을 목표로 하는 정책조율을 통해 개발도상국이 장기적인 부채 상환능력을 갖출수있도록 지원; 고채무국의 채무부담을 완화하기 위해 외채문제에 대응","Оказывать развивающимся странам помощь в
целях обеспечения долгосрочной приемлемости
уровня их задолженности благодаря проведению
скоординированной политики, направленной на поощрение,
в зависимости от обстоятельств, финансирования
за счет заемных средств, облегчения долгового
бремени и реструктуризации задолженности, и
решить проблему внешней задолженности бедных
стран с крупной задолженностью, с тем чтобы облегчить
их долговое бремя
"
global_targets:17-5---title,최빈개도국을 위한 투자촉진계획을 채택하고 이행,"Принять и применять режимы поощрения инвестиций
в интересах наименее развитых стран"
global_targets:17-6---title,"과학, 기술, 혁신에 관한 북-남, 남-남, 삼각협력 등의 지역 및 국가 간 협력과 접근을 강화; 글로벌 기술촉진 메커니즘 활용 및 특히 UN 차원에서 마련된 기존 메커니즘 간의 조정을 개선하여 상호합의된 조건에 따른 지식공유 확대","Расширять сотрудничество по линии Север —
Юг и Юг — Юг, а также трехстороннее региональное
и международное сотрудничество в областях
науки, техники и инноваций и доступ к соответствующим
достижениям; активизировать обмен знаниями
на взаимно согласованных условиях, в том
числе благодаря улучшению координации между существующими
механизмами, в частности на уровне
Организации Объединенных Наций, а также с помощью
глобального механизма содействия передаче
технологий"
global_targets:17-7---title,"상호합의에 따라 양허, 특혜 등 유리한 조건으로 개발도상국에 환경적으로 안전한 기술의 개발, 이전, 전파 및 확산을 증진","Содействовать разработке, передаче, распространению
и освоению экологически безопасных
технологий, так чтобы их получали развивающиеся
страны на взаимно согласованных благоприятных
условиях, в том числе на льготных и преференциальных
условиях"
global_targets:17-8---title,2017년까지 최빈개도국을 위한 기술은행 및 과학기술혁신 역량구축 메카니즘 운영을 전면 가동하고 정보통신기술(ICT) 위주의 핵심기술 사용을 강화,"Обеспечить к 2017 году полномасштабное
функционирование банка технологий и механизма
развития науки, технологий и инноваций в интересах
наименее развитых стран и расширить использование
высокоэффективных технологий, в частности
информационно-коммуникационных технологий"
global_targets:17-9---title,"북남, 남-남, 삼각협력을 통하여, SDGs를 효과적으로 달성하기 위한 국가계획을 지원할 개도국의 효과적, 선별적 역량구축 이행에 대한 국제적 지원을 강화","Усилить международную поддержку эффективного
и целенаправленного наращивания потенциала
развивающихся стран для содействия реализации
национальных планов достижения всех целей в области устойчивого развития, в том числе благодаря
сотрудничеству по линии Север — Юг и Юг —
Юг и трехстороннему сотрудничеству"
global_targets:2-1---title,"2030년까지 기아를 종식시키고 모든 사람, 특히 영·유아를 포함한 빈곤층 및 취약계층이 안전하고 영양가 있으며 충분한 식량에 접근할 수 있도록 보장","К 2030 году покончить с голодом и обеспечить
всем, особенно малоимущим и уязвимым группам
населения, включая младенцев, круглогодичный доступ
к безопасной, питательной и достаточной пище"
global_targets:2-2---title,"2025년까지 5세 미만의 발육부진 및 쇠약에 관한 국제 목표 달성을 포함하여 2030년까지 모든 형태의 영양 부족을 종식시키고 여성 청소년, 임산부, 수유여성 및 노년층의 영양상태 개선","К 2030 году покончить со всеми формами
недоедания, в том числе достичь к 2025 году согласованных
на международном уровне целевых показателей,
касающихся борьбы с задержкой роста и
истощением у детей в возрасте до пяти лет, и удовлетворять
потребности в питании девочек подросткового
возраста, беременных и кормящих женщин и
пожилых людей"
global_targets:2-3---title,"2030년까지 토지 및 기타 생산자원과 투입요소, 지식, 금융서비스, 시장 및 부가가치 창출과 비농업부문 고용 기회에 대한 안전하고 동등한 접근을 통해 소규모 식량생산자, 특히 여성, 토착민, 가족농, 목축업자 및 어민의 농업 생산성과 소득을 두 배로 증가","К 2030 году удвоить продуктивность сельского
хозяйства и доходы мелких производителей продовольствия,
в частности женщин, представителей коренных
народов, фермерских семейных хозяйств,
скотоводов и рыбаков, в том числе посредством
обеспечения гарантированного и равного доступа к
земле, другим производственным ресурсам и факторам
сельскохозяйственного производства, знаниям,
финансовым услугам, рынкам и возможностям для
увеличения добавленной стоимости и занятости в
несельскохозяйственных секторах "
global_targets:2-4---title,"2030년까지 생산성과 생산량을 증가시키고 생태계 유지에 도움이 되며 기후변화, 기상 이변, 가문, 홍수 및 기타 자연재해데 대한 적응력을 강화하고 토지와 토양의 질을 점진적으로 향상 시킬 수 있는 지속가능한 식량생산체계를 보장하며, 회복력 있는 농업 관행을 이행","К 2030 году обеспечить создание устойчивых
систем производства продуктов питания и внедрить
методы ведения сельского хозяйства, которые позволяют
повысить жизнестойкость и продуктивность и
увеличить объемы производства, способствуют сохранению
экосистем, укрепляют способность адаптироваться
к изменению климата, экстремальным
погодным явлениям, засухам, наводнениям и другим
бедствиям и постепенно улучшают качество земель
и почв"
global_targets:2-5---title,"2020년까지 국가적, 지역적, 국제적 차원에서 건전하게 관리되고 다변화된 종자 및 식물 은행 등을 통해 종자, 재배식물, 가축과 사육동물 및 관련 야생종의 유전적 다양성을 유지하고, 국제적으로 합의된 바와 같이 유전자원과 관련 전통지식의 이용으로부터 발생하는 이익의 공정하고 공평한 분배에 대한 접근을 개선","К 2020 году обеспечить сохранение генетического
разнообразия семян и культивируемых растений,
а также сельскохозяйственных и домашних животных
и их соответствующих диких видов, в том
числе посредством надлежащего содержания разнообразных
банков семян и растений на национальном,
региональном и международном уровнях, и содействовать
расширению доступа к генетическим
ресурсам и связанным с ними традиционным знаниям
и совместному использованию на справедливой
и равной основе выгод от их применения на согласованных
на международном уровне условиях"
global_targets:2-a---title,"개발도상국 특히, 최빈개도국의 농업 생산역량 강화를 위해 국제협력 증진을 통해 농촌 지역 사회기반시설, 농업 연구 및 지원 서비스, 기술 개발, 식물 및 가축 유전자은행에 대한 투자 확대","Увеличить инвестирование, в том числе посредством
активизации международного сотрудничества,
в сельскую инфраструктуру, сельскохозяйственные
исследования и агропропаганду, развитие
технологий и создание генетических банков растений
и животных в целях укрепления потенциала
развивающихся стран, особенно наименее развитых
стран, в области сельскохозяйственного производства"
global_targets:2-b---title,도하개발라운드에 따른 농산품 보조금 철폐를 포함하여 세계농업시장에서의 무역규제 및 왜곡 시정,"Устранять и пресекать введение торговых
ограничений и возникновение искажений на мировых
рынках сельскохозяйственной продукции, в том
числе посредством параллельной ликвидации всех
форм субсидирования экспорта сельскохозяйственной
продукции и всех экспортных мер, имеющих аналогичные последствия, в соответствии с мандатом
Дохинского раунда переговоров по вопросам
развития"
global_targets:2-c---title,지나친 식품가격 변동성 제어에 도움이 되도록 식품상품 시장의 정상적인 기능을 위한 조치 채택,"Принять меры для обеспечения надлежащего
функционирования рынков продовольственных товаров
и продукции их переработки и содействовать
своевременному доступу к рыночной информации, в
том числе о продовольственных резервах, с целью
помочь ограничить чрезмерную волатильность цен
на продовольствие"
global_targets:3-1---title,2030년까지  모성사망비율을 10만 명 당 70명미만으로 감소,"К 2030 году снизить глобальный коэффициент
материнской смертности до менее 70 случаев
на 100 000 живорождений
"
global_targets:3-2---title,"2030년까지 신생아와 5세미만의 예방가능한 사망을 종식시켜, 모든 국가의 신생아 사망률을 1000명당 최소 12명 이하,  5세 미만 사망률을 1000명당 최소 25명 이하 목표","К 2030 году положить конец предотвратимой
смертности новорожденных и детей в возрасте до
пяти лет, при этом все страны должны стремиться
уменьшить неонатальную смертность до не более
12 случаев на 1000 живорождений, а смертность в
возрасте до пяти лет до не более 25 случаев на
1000 живорождений"
global_targets:3-3---title,"2030년까지 후천성면역결핍증(AIDS), 결핵, 말라리아 및  소외열대질환의 확산을  종식시키고, 간염, 수인성 질병 및 기타 전염성 질병 방지","К 2030 году положить конец эпидемиям
СПИДа, туберкулеза, малярии и тропических болезней,
которым не уделяется должного внимания, и
обеспечить борьбу с гепатитом, заболеваниями, передаваемыми
через воду, и другими инфекционными
заболеваниями"
global_targets:3-4---title,2030년까지 예방과 치료를 통해 비전염성 질병으로 인한 조기 사망을 1/3로 감소시키고 정신건강과 웰빙을 향상,"К 2030 году уменьшить на треть преждевременную
смертность от неинфекционных заболеваний
посредством профилактики и лечения и поддержания
психического здоровья и благополучия"
global_targets:3-5---title,마약 및 해로운 알코올을 포함하여 약물남용 예방 및 치료 강화,"Улучшать профилактику и лечение зависимости
от психоактивных веществ, в том числе злоупотребления
наркотическими средствами и алкоголем"
global_targets:3-6---title,"2020년까지, 도로교통사고로 인한 사망자 및 부상자 수를 절반으로 감소","К 2020 году вдвое сократить во всем мире
число смертей и травм в результате дорожно-транспортных
происшествий"
global_targets:3-7---title,"2030년까지 가족계획, 정보및교육 등을 포함한 성 및 생식보건서비스에 대한 보편적 접근을 보장하고 생식보건을 국가전략과 프로그램에 통합","К 2030 году обеспечить всеобщий доступ к
услугам по охране сексуального и репродуктивного
здоровья, включая услуги по планированию семьи,
информирование и просвещение, и учет вопросов
охраны репродуктивного здоровья в национальных
стратегиях и программах"
global_targets:3-8---title,"재정 위험 보호, 양질의 필수 보건서비스, 모두에게 안전하고 효과적이며 합리적인 가격의 필수 약품 및 백신에 대한 접근 등을 포함하는 보편적 건강보장 서비스 제공","Обеспечить всеобщий охват услугами здравоохранения,
в том числе защиту от финансовых рисков,
доступ к качественным основным медико-санитарным
услугам и доступ к безопасным, эффективным,
качественным и недорогим основным лекарственным
средствам и вакцинам для всех"
global_targets:3-9---title,"2030년까지 유해화학물질, 대기오염, 수질오염, 토양 오염으로 인한 사망 및 질병 건수를 상당 수준으로 감소","К 2030 году существенно сократить количество
случаев смерти и заболевания в результате воздействия
опасных химических веществ и загрязнения
и отравления воздуха, воды и почв"
global_targets:3-a---title,WHO 담배규제기본협약 이행 강화,"Активизировать при необходимости осуществление
Рамочной конвенции Всемирной организации
здравоохранения по борьбе против табака во всех
странах"
global_targets:3-b---title,"개도국에서 주로 발생하는 전염성 및 비전염성 질병에 대한 백신 및 약품 개발과 연구 지원, 저렴한 가격의 필수 의약품 및 백신의 제공, 특히 모두에게 의약품에 대한 접근을 보장","Оказывать содействие исследованиям и разработкам
вакцин и лекарственных препаратов для лечения
инфекционных и неинфекционных болезней,
которые в первую очередь затрагивают развивающиеся
страны, обеспечивать доступность недорогих
основных лекарственных средств и вакцин в соответствии
с Дохинской декларацией «Соглашение по
ТРИПС и общественное здравоохранение», в которой
подтверждается право развивающихся стран в
полном объеме использовать положения Соглашения по торговым аспектам прав интеллектуальной собственности
в отношении проявления гибкости для
целей охраны здоровья населения и, в частности,
обеспечения доступа к лекарственным средствам
для всех"
global_targets:3-c---title,"최빈개도국 및 개도국에서의 보건인력 양성, 훈련 및 보건 분야 재원을 상당 수준 증가","Существенно увеличить финансирование здравоохранения
и набор, развитие, профессиональную
подготовку и удержание медицинских кадров в развивающихся
странах, особенно в наименее развитых
странах и малых островных развивающихся государствах"
global_targets:3-d---title,"모든 국가, 특히 개도국의 조기경보, 위험 감소, 국가 및 글로벌 보건리스크 관리 역량 강화","Наращивать потенциал всех стран, особенно
развивающихся стран, в области раннего предупреждения,
снижения рисков и регулирования национальных
и глобальных рисков для здоровья"
global_targets:4-1---title,2030년까지 모든 여아와 남아가 적절하고 효과적인 학습성과를 거둘 수 있도록 공평하고 양질의 무상 초등교육과 중등교육의 이수를 보장,"К 2030 году обеспечить, чтобы все девочки и
мальчики завершали получение бесплатного, равноправного
и качественного начального и среднего образования,
позволяющего добиться востребованных
и эффективных результатов обучения"
global_targets:4-2---title,"2030년까지 모든 여아와 남아가 초등교육을 받을 준비가 되도록 양질의 영유아 발달 교육, 보육 및 취학 전 교육에 대한 접근을 보장","К 2030 году обеспечить всем девочкам и мальчикам
доступ к качественным системам развития,
ухода и дошкольного обучения детей младшего возраста,
с тем чтобы они были готовы к получению
начального образования
"
global_targets:4-3---title,"2030년까지 모든 여성과 남성에게 적정비용의 양질의 기술교육, 직업교육 및 대학을 포함한 고등교육에 대한 평등한 접근을 보장","К 2030 году обеспечить для всех женщин и
мужчин равный доступ к недорогому и качественному
профессионально-техническому и высшему
образованию, в том числе университетскому образованию"
